Cluster	clsy1234_r1	clsy1234_r2	col0_r1	col0_r2	nrpd1_3_r1	nrpd1_3_r2	NRPD1_3xF_Mut10_r1	NRPD1_3xF_Mut10_r2	NRPD1_3xF_Mut9_r1	NRPD1_3xF_Mut9_r2	NRPD1_3xF_WT2_r1	NRPD1_3xF_WT2_r2	WTSucSul_r1	WTSucSul_r2	nrpd1_49_r1	nrpd1_49_r2	nrpd1_50_r1	nrpd1_50_r2	nrpd1_51_r1	nrpd1_51_r2
merged_3_15370562	0	0.09	14.12	13.34	0	0	0.09	0.44	0.43	0.66	17.13	17.3	9.36	8.42	0.23	0	0.64	0.46	0	0
merged_3_11375894	0	0	7.13	4.89	0	0	0	0	0	0	7.52	7.95	7.17	8.35	0	0.36	0.27	0.96	0	0
merged_1_14288061	0	0	6.86	4.36	0	0	0	0	0.14	0.13	9.18	8.22	3.06	3.24	0	0	0	0	0	0
merged_4_2542992	0	0	6.44	6.15	0.27	0.64	0	0	0	0.69	11.8	10.54	2.51	3.07	0	0	0	0	0	0
merged_2_8300231	0.14	0.14	36.88	37.23	0.03	0.12	0.06	0.04	0.23	0.28	40.95	39.79	32.98	31.34	0.36	0.31	0.32	0.52	0.1	0.03
merged_5_20669762	0.14	0.46	50.73	45.61	0.17	0.14	0.63	0.48	0.35	0.33	42.2	39.98	13.73	14.54	0	0.23	0	0	0	0.17
merged_4_697292	0.21	0.08	58.16	51.25	0	0	0.45	0.17	0.34	0.65	70.31	60.86	18.29	16.54	0	0.17	0.25	0	0.14	0.12
merged_1_16904206	0	0	11.8	12.05	0	0	0	0.16	0.08	0.15	18.43	17.27	5.15	5.79	0	0	0	0.14	0	0
merged_4_1541046	0.21	0	7.36	7.2	0.12	0	0.09	0	0.08	0.24	8.66	9.73	5.59	6.74	0.22	0	0.38	0.45	0	0
merged_3_12149773	0	0	5.04	4.92	0	0	0.45	0	0.35	0.13	14.6	15.98	4.93	4.47	0	0	0.21	0.62	0	0.2
merged_1_16212087	0.11	0	47.51	41.71	0	0	0	0.09	0.17	0.08	52.47	48.43	19.49	22.16	0.57	0	0.51	0.77	0.14	0.25
merged_2_5528407	0	0	2.19	2.29	0.01	0	0.05	0.02	0.07	0.13	5.68	4.88	4.18	4.31	0.06	0.02	0.22	0.23	0.01	0.02
merged_1_10852598	0	0	17.99	15.16	0.11	0	0	0	0	0.14	19.32	18.4	16.05	12.91	0	0.3	0.22	0.53	0	0
merged_1_16342862	0.08	0.06	7.61	6.99	0.03	0.15	0.07	0.04	0.25	0.22	12.48	11.66	8.16	7.06	0.16	0.29	0.34	0.26	0.03	0
merged_4_4905932	0	0	24.14	22.76	0	0	0	0.16	0.15	0.73	28.82	29.41	2.85	2.86	0	0	0.45	0.27	0	0
merged_1_27514858	0.14	0.05	7.17	7.04	0.12	0.13	0.09	0.2	0.41	0.39	11.74	9.24	9.87	9.4	0.11	0.11	0.08	0.05	0	0.12
merged_1_28731696	0.28	0.11	62.17	59.42	0	0	0	0	0.23	0.22	70.01	63.17	40.49	36.41	0.15	0	0	0.2	0	0
merged_1_15740386	0	0	1.13	1.08	0	0	0	0	0.13	0	1.65	2.02	1.14	0.74	0	0	0.19	0	0	0
merged_5_19139729	0.07	0.22	106.63	102.44	0	0	0.3	0	0	0.16	30.2	28.35	61.22	58.58	0.29	0.55	0.24	0.39	0.18	0
merged_1_12228835	0	0	19.88	25.12	0	0	0	0	0	0	22.65	31.74	4.41	2.64	0	0	0	0	0	0
merged_4_15680005	0.32	0.51	36.26	36.48	0	0	0	0.39	0.26	0.12	19.2	21.22	48.69	40.07	0	0.51	0.38	0	0.21	0
merged_5_10583460	0.01	0	1.99	2.36	0.02	0	0.05	0.06	0.1	0.06	4.97	4.87	2.59	2.27	0.03	0.09	0.12	0.1	0	0
merged_2_10677997	0.34	0.46	94.14	94.72	0.68	0.22	0.6	0	0.64	0.7	105.54	101.23	55.05	58.84	0.24	0	1.91	2.12	0	0.13
merged_1_11893954	0	0.01	6.54	6.65	0.02	0.03	0.14	0.08	0.22	0.25	8.45	8.43	5.19	4.88	0.02	0.12	0.24	0.24	0.05	0.02
merged_2_10036419	0	0	13.13	11.87	0.32	0	0	0	0	0	8.98	9.32	4.8	2.53	0	0.44	0.32	0.39	0	0
